Smiles,MMGBSA dG Bind
NC=1C=NC=2CCCCC2N1,-29.57
NC=1C=C2CCCCN2N1,-19.61
COC1(CN)CCOCC1,-21.84
COCC1CCC(N)CC1,-18.43
CC=1C=CC=2NC=NC2C1C,-28.01
CC1(C)CNCC(C)(C)N1,-24.21
C=1C=C2NCCNC2=CN1,-24.95
O=C1NCC=2N=CC=CC12,-21.62
OC1(CCNCC1)C2CC2,-24.61
CC1CNC(=O)CC(C)C1,-29.5
O=C(O)C1CCNC(=O)C1,-24.11
O=C1C=CNC=2CCCCC12,-25.12
O=C1CN2CCCC2CN1,-29.01
CC1CCCC(C)C(=O)N1,-27.66
COCC1CCNC(=O)C1,-25.59
C1COC2CCNCC2C1,-24.97
O=C1NCCCC1CCO,-23.85
CC1CCC(C1)NCCO,-33.21
CC1CC=2C=NC=CC2N1,-28.68
COCC1(O)CCNCC1,-19.94
CC(C)C1COCC(=O)N1,-23.88
O=C1NN=C2CNCCN12,-23.65
C[C@@H](O)CN1CCNCC1,-28.71
O=C1CC(CCN1)C(F)(F)F,-18.21
O=C1CCCC(N1)C(F)(F)F,-25.22
CC1=CCC(CC1)C(=O)O,-12.51
CC=1C=C(CC(=O)O)ON1,-10.81
O=C(O)[C@H]1[C@@H]2CCCC[C@H]12,-10.36
CC1(C)CCCC1C(=O)O,-14.73
CC1CCC(CC(=O)O)C1,-22.3
CC1(CCC(=O)N1)C(=O)O,-17.65
CN1C=C(NC1=O)C(=O)O,-11.89
O=C(O)CC1=CCOCC1,-14.46
CCC1CCCC1C(=O)O,-11.58
CC1CCCC1(C)C(=O)O,-15.64
CCC1=NOC=C1C(=O)O,-9.48
CC1COCCC1C(=O)O,-12.89
CC=1NN=C(C(=O)O)C1F,-14.59
CCC=1N=COC1C(=O)O,-15.57
NS(=O)(=O)C=1C=CC=2CCNC(=O)C2C1,-28.12
CCC1=NN=C(CO)N1C,-28.56
CC=1C=NC=CC1OC2CCNCC2,-33.99
O=C1CC(CO)CN1CC=2C=CC=CC2,-44.75
COC=1C=C2C=CC(=O)NC2=CC1OC,-32.33
NC1CCCN(CC=2C=CC=CN2)C1=O,-33.79
C1CNCC2(C1)CCCOC2,-28.13
NC1CC(=O)N2CCCCC12,-26.64
COC=1C=CC(=CC1)C2C(CO)CCN2C,-40.79
O=C(O)CN1CCC=2C=CC=CC2C1=O,-22.3
OCC1=CN=C(O1)C(F)(F)F,-21.76
CC1=NC(CO)=C2C=CC=CN12,-29.99
NC1=NC(=NN1)C2=CC=CC=C2F,-30.07
O=S1CCNC(C1)C=2C=CC=CC2,-41.29
COC1=CC=C2C(N)=NOC2=C1,-25.0
OCC=1C=C2CCCOC2=CN1,-34.54
OCC1CCCC2=CC=CN=C21,-34.54
O=C(O)C1CCCC=2NC=NC21,-21.13
CC1CCNC(C1)C(N)=O,-29.54
O=C(O)C1=CON=C1C2CC2,-8.21
CC=1N=CC=2CNC(=O)C2C1N,-28.31
NS(=O)(=O)C=1C=CC=2CCCNC2C1,-28.57
O=C(O)C1CN(C1)C(=O)C2CCCCC2,-24.54
CN1C=CC(=N1)N2CCC(N)C2=O,-26.43
CN1CCC(OC2=CC=CC(F)=C2)C1=O,-37.28
O=C(O)C1CCCCC(=O)N1,-13.97
COCC1=NC=2C=CC=CC2CN1,-33.62
NC1=NN=CN1CC=2C=CC=CC2,-31.22
O=C1CC(CC=2C=CC(F)=CC2)C(=O)N1,-32.89
FC=1C=CC(=C(Cl)C1)C2CNCCO2,-33.26
NC(=O)C=1C=NC(=NC1)C(F)(F)F,-24.61
N#CC1CCCC(F)(F)C1,-25.64
O=C(O)C1CCCC(F)(F)C1,-18.25
CC1=NC=C(CO)N1C=2C=CC=CC2,-40.02
CC1=CC=C(O1)C2CS(=O)(=O)CCN2,-34.17
CC1NCCS(=O)(=O)C1C,-22.41
CC(C)C1=NN=CN1CCN,-10.79
CC=1C=CC(=CC1)C2OCCCC2CN,-33.68
O=C1CCNC2=CC=C(F)C=C2N1,-32.56
O=C(O)C=1C=CN(N1)C2CCCCC2,-29.94
CC1(C)NC(=O)C(NC1=O)C=2C=CC=CC2,-32.44
CCNS(=O)(=O)N1CCN2CCCC2C1,-40.03
CCC1(CO)CCNCC1,-28.72
NS(=O)(=O)C=1C=NC=C(Cl)C1,-26.08
CC1(C)CC(C(=O)O)C=2C=CC=CC2O1,-26.98
NC1CN(CC=2C=CC=CC2)CCC1CO,-43.05
OCC1=CN=C2C(F)=CC=CC2=C1,-35.9
N#CC=1C=CC=C(C1)C(F)F,-30.85
NC1CCN(CC=2C=CC=CC2)CC1CO,-42.09
CC=1N=C(SC1CC(=O)O)C2CC2,-28.97
CN1CCC(=O)NC2=CC(F)=CC=C21,-39.96
O=C(O)C1(O)CCC(CC1)C(F)(F)F,-13.91
NS(=O)(=O)C1CCC(CC1)C(F)(F)F,-25.01
CC1(O)CCCC(C1)C(F)(F)F,-33.12
CC1=NN=C(N1)C2=CC=CC(C#N)=C2,-35.02
FC(F)(F)C1CNCCO1,-21.1
NC1C=2C=CC=CC2CCC1CO,-32.93
COCCN1CCNC(C)(C)C1,-29.93
CC(N)C1CN(CC=2C=CC=CC2)CCO1,-35.72
CN1C=C(C=N1)N2CCC(CO)C2,-32.52
C=1C=CC=2NC(=NC2C1)C3CNC3,-28.0
CCN1CCC(=O)NC(C)C1=O,-28.88
CCN1CCC(=O)NC2(CCCC2)C1=O,-35.67
CCC1NC(=O)CCN(C)C1=O,-29.8
C=1C=CC(=CC1)C2CNCCN2,-34.67
CS(=O)C=1C=CC(=CC1)CC(=O)O,-19.91
CC1CN(CCO)C(C)CN1,-35.85
COC=1C=CC=C2CCC(C(=O)O)C12,-18.35
NC1=NOC=C1C2=CC=CC=C2F,-29.52
OCC1=CN=NN1C=2C=CC=CC2,-36.07
CC1=NN2C(CO)=C(C)N=C2S1,-39.21
CC(C)C=1N=CSC1C(=O)O,-7.26
OC1CCCOC=2C(F)=CC=CC21,-34.82
CC=1C=C(C=CC1F)C2CNCCO2,-31.59
CC=1N=C(OC1C(=O)O)C(C)C,-18.18
CC(C)C1=NN=C(CCN)S1,-31.77
C=1C=CC2=C(C1)CCC32CNCCO3,-30.9
CC=1C=CC=C2N=C(N)OC12,-23.88
FC=1C=C2NCCOC2=CC1F,-25.33
OCC1(CCOCC1)C=2C=CC=CC2,-35.26
CC=1N=C2SC=CN2C1C#N,-24.61
CN1C(CO)=NN=C1C=2C=CC=CC2,-33.18
O=C1CCC(=NN1)C(F)(F)F,-20.33
CNC=1C=CC(=CN1)OC,-28.76
CC=1C=CC(=CC1C#N)C(=O)O,-16.61
O=C(O)C=1C=C2CCCN2N1,-14.24
O=C1CC=NN1C=2C=CC(F)=CC2,-34.31
OCC=1C=CC=CC1C2CCNCC2,-33.5
O=C1CCCC(N1)C=2C=CC=CC2,-37.09
O=C(O)C=1C=NN2CCCC12,-15.56
O=C(O)C1CCC(F)(F)C1,-9.42
COC=1C=CC(F)=CC1CC(=O)O,-14.95
O=C1NCCCC1CC=2C=CC=CC2,-32.47
CN1N=NC=2C=NC=CC21,-21.4
NC=1C=CC=NC1C(F)(F)F,-18.59
COC=1C=CC=C2CC(N)CC12,-26.91
CC=1C=CC=C2C(=COC12)C(=O)O,-12.88
O=S1(=O)CC=2C=CC=CC2C1,-24.16
CC=1C=C(C#N)C=CC1C(=O)O,-19.46
C=1C=CC2=C(C1)COC32CCCNC3,-34.63
OCC1=NN=C2CCCCN12,-29.07
CC1=NC(C)=C(C)NC1=O,-28.1
COC=1C=C2C(O)=CC=NC2=CC1F,-28.64
CN1C=NN=C1C2=CC=CC=C2Cl,-32.13
COC=1C=CC=NC1C(F)(F)F,-22.56
O=C1CC2(CN1)CCCCC2,-25.24
O=C1CC2(CN1)CCOCC2,-22.23
OCC=1C=CC=C(C1)C=2C=CC=CN2,-43.52
CN1C(=O)NC=2C=NC=CC21,-24.81
OCC1CNC2=C(F)C=CC=C2C1,-34.77
CC(O)C=1C=CC(F)=CN1,-27.18
OCCC1=CN2C=CC=CC2=N1,-29.46
O=C1C=CC=CN1C(F)F,-17.59
CC=1C=CN2N=CN=C2C1N,-23.85
CC1(C)CNC=2N=CC=CC2O1,-26.35
CNCC=1C=CC(C)=CN1,-23.86
OCCC1CCC2=CC=CC=C2N1,-37.58
O=C1COCC(N1)C=2C=CC=CC2,-35.87
OCC1=CC=C(OC(F)F)C(F)=C1,-32.09
O=C(O)C=1C=CC=NC1C2CC2,-23.4
C=1C=NN(C1)C2CCCCO2,-29.45
O=C1NCCC1CC=2C=CC=CC2,-35.83
OCC1=CNC2=CC=CC(F)=C12,-29.23
CN(C)C=1C=CC=NC1CN,-30.04
N#CC=1C=CC(CO)=C(Cl)C1,-32.35
C[C@@H]1CN(CCN1)C2CCOCC2,-38.64
O=C1NCCCN1CC=2C=CC=CC2,-32.57
O=C(O)C=1C=CN=C(C1)C2CC2,-19.6
COCC1=CSC(=C1)C(=O)O,-16.14
N#CC=1C=CC(=NC1)C(F)F,-26.93
O=C1NCC=2C=CC=NC12,-27.55
CN1N=C(C=C1O)C(F)(F)F,-24.6
O=C1CC=2C=C(F)C=CC2N1,-28.27
CN1C=C(CN)C(=N1)C(F)(F)F,-22.76
OC1CCCN2C=CN=C12,-28.92
OCC1=CC=2C=NC=CC2O1,-25.14
CN1NC(=O)C=2C=CC=CC21,-27.97
