mol_id,canonical_smiles,mmgbsa_kcal_mol
312,Cc1ccn2c(N)nnc2c1,-27.52
313,Cn1cc(C(N)=O)c(N)n1,-17.99
314,NC1CCCn2ncnc21,-24.27
315,Nc1cnc2c(n1)CCCC2,-29.57
316,Nc1cc2n(n1)CCCC2,-19.61
317,COC1(CN)CCOCC1,-21.84
318,COCC1CCC(N)CC1,-18.43
319,Cc1ccc2[nH]cnc2c1C,-28.01
320,CC1(C)CNCC(C)(C)N1,-24.21
321,c1cc2c(cn1)NCCN2,-24.95
322,O=C1NCc2ncccc21,-21.62
323,OC1(C2CC2)CCNCC1,-24.61
324,CC1CNC(=O)CC(C)C1,-29.5
325,O=C1CC(C(=O)O)CCN1,-24.11
326,O=c1cc[nH]c2c1CCCC2,-25.12
327,O=C1CN2CCCC2CN1,-29.01
328,CC1CCCC(C)C(=O)N1,-27.66
329,COCC1CCNC(=O)C1,-25.59
330,C1COC2CCNCC2C1,-24.97
331,O=C1NCCCC1CCO,-23.85
332,CC1CCC(NCCO)C1,-33.21
333,CC1Cc2cnccc2N1,-28.68
334,COCC1(O)CCNCC1,-19.94
335,CC(C)C1COCC(=O)N1,-23.88
336,O=c1[nH]nc2n1CCNC2,-23.65
337,C[C@@H](O)CN1CCNCC1,-28.71
338,O=C1CC(C(F)(F)F)CCN1,-18.21
339,O=C1CCCC(C(F)(F)F)N1,-25.22
340,CC1=CCC(C(=O)O)CC1,-12.51
341,Cc1cc(CC(=O)O)on1,-10.81
342,O=C(O)[C@H]1[C@@H]2CCCC[C@@H]21,-10.36
343,CC1(C)CCCC1C(=O)O,-14.73
344,CC1CCC(CC(=O)O)C1,-22.3
345,CC1(C(=O)O)CCC(=O)N1,-17.65
346,Cn1cc(C(=O)O)[nH]c1=O,-11.89
347,O=C(O)CC1=CCOCC1,-14.46
348,CCC1CCCC1C(=O)O,-11.58
349,CC1CCCC1(C)C(=O)O,-15.64
350,CCc1nocc1C(=O)O,-9.48
351,CC1COCCC1C(=O)O,-12.89
352,Cc1[nH]nc(C(=O)O)c1F,-14.59
353,CCc1ncoc1C(=O)O,-15.57
354,NS(=O)(=O)c1ccc2c(c1)C(=O)NCC2,-28.12
355,CCc1nnc(CO)n1C,-28.56
356,Cc1cnccc1OC1CCNCC1,-33.99
357,O=C1CC(CO)CN1Cc1ccccc1,-44.75
358,COc1cc2ccc(=O)[nH]c2cc1OC,-32.33
359,NC1CCCN(Cc2ccccn2)C1=O,-33.79
360,C1CNCC2(C1)CCCOC2,-28.13
361,NC1CC(=O)N2CCCCC12,-26.64
362,COc1ccc(C2C(CO)CCN2C)cc1,-40.79
363,O=C(O)CN1CCc2ccccc2C1=O,-22.3
364,OCc1cnc(C(F)(F)F)o1,-21.76
365,Cc1nc(CO)c2ccccn12,-29.99
366,Nc1nc(-c2ccccc2F)n[nH]1,-30.07
367,O=S1CCNC(c2ccccc2)C1,-41.29
368,COc1ccc2c(N)noc2c1,-25.0
369,OCc1cc2c(cn1)OCCC2,-34.54
370,OCC1CCCc2cccnc21,-34.54
371,O=C(O)C1CCCc2[nH]cnc21,-21.13
372,CC1CCNC(C(N)=O)C1,-29.54
373,O=C(O)c1conc1C1CC1,-8.21
374,Cc1ncc2c(c1N)C(=O)NC2,-28.31
375,NS(=O)(=O)c1ccc2c(c1)NCCC2,-28.57
376,O=C(O)C1CN(C(=O)C2CCCCC2)C1,-24.54
377,Cn1ccc(N2CCC(N)C2=O)n1,-26.43
378,CN1CCC(Oc2cccc(F)c2)C1=O,-37.28
379,O=C1CCCCC(C(=O)O)N1,-13.97
380,COCC1=Nc2ccccc2CN1,-33.62
381,Nc1nncn1Cc1ccccc1,-31.22
382,O=C1CC(Cc2ccc(F)cc2)C(=O)N1,-32.89
383,Fc1ccc(C2CNCCO2)c(Cl)c1,-33.26
384,NC(=O)c1cnc(C(F)(F)F)nc1,-24.61
385,N#CC1CCCC(F)(F)C1,-25.64
386,O=C(O)C1CCCC(F)(F)C1,-18.25
387,Cc1ncc(CO)n1-c1ccccc1,-40.02
388,Cc1ccc(C2CS(=O)(=O)CCN2)o1,-34.17
389,CC1NCCS(=O)(=O)C1C,-22.41
390,CC(C)c1nncn1CCN,-10.79
391,Cc1ccc(C2OCCCC2CN)cc1,-33.68
392,O=C1CCNc2ccc(F)cc2N1,-32.56
393,O=C(O)c1ccn(C2CCCCC2)n1,-29.94
394,CC1(C)NC(=O)C(c2ccccc2)NC1=O,-32.44
395,CCNS(=O)(=O)N1CCN2CCCC2C1,-40.03
396,CCC1(CO)CCNCC1,-28.72
397,NS(=O)(=O)c1cncc(Cl)c1,-26.08
398,CC1(C)CC(C(=O)O)c2ccccc2O1,-26.98
399,NC1CN(Cc2ccccc2)CCC1CO,-43.05
400,OCc1cnc2c(F)cccc2c1,-35.9
401,N#Cc1cccc(C(F)F)c1,-30.85
402,NC1CCN(Cc2ccccc2)CC1CO,-42.09
403,Cc1nc(C2CC2)sc1CC(=O)O,-28.97
404,CN1CCC(=O)Nc2cc(F)ccc21,-39.96
405,O=C(O)C1(O)CCC(C(F)(F)F)CC1,-13.91
406,NS(=O)(=O)C1CCC(C(F)(F)F)CC1,-25.01
407,CC1(O)CCCC(C(F)(F)F)C1,-33.12
408,Cc1nnc(-c2cccc(C#N)c2)[nH]1,-35.02
409,FC(F)(F)C1CNCCO1,-21.1
410,NC1c2ccccc2CCC1CO,-32.93
411,COCCN1CCNC(C)(C)C1,-29.93
412,CC(N)C1CN(Cc2ccccc2)CCO1,-35.72
413,Cn1cc(N2CCC(CO)C2)cn1,-32.52
414,c1ccc2[nH]c(C3CNC3)nc2c1,-28.0
415,CCN1CCC(=O)NC(C)C1=O,-28.88
416,CCN1CCC(=O)NC2(CCCC2)C1=O,-35.67
417,CCC1NC(=O)CCN(C)C1=O,-29.8
418,c1ccc(C2CNCCN2)cc1,-34.67
419,CS(=O)c1ccc(CC(=O)O)cc1,-19.91
420,CC1CN(CCO)C(C)CN1,-35.85
421,COc1cccc2c1C(C(=O)O)CC2,-18.35
422,Nc1nocc1-c1ccccc1F,-29.52
423,OCc1cnnn1-c1ccccc1,-36.07
424,Cc1nn2c(CO)c(C)nc2s1,-39.21
425,CC(C)c1ncsc1C(=O)O,-7.26
426,OC1CCCOc2c(F)cccc21,-34.82
427,Cc1cc(C2CNCCO2)ccc1F,-31.59
428,Cc1nc(C(C)C)oc1C(=O)O,-18.18
429,CC(C)c1nnc(CCN)s1,-31.77
430,c1ccc2c(c1)CCC21CNCCO1,-30.9
431,Cc1cccc2nc(N)oc12,-23.88
432,Fc1cc2c(cc1F)OCCN2,-25.33
433,OCC1(c2ccccc2)CCOCC1,-35.26
434,Cc1nc2sccn2c1C#N,-24.61
435,Cn1c(CO)nnc1-c1ccccc1,-33.18
436,O=C1CCC(C(F)(F)F)=NN1,-20.33
437,CNc1ccc(OC)cn1,-28.76
438,Cc1ccc(C(=O)O)cc1C#N,-16.61
439,O=C(O)c1cc2n(n1)CCC2,-14.24
440,O=C1CC=NN1c1ccc(F)cc1,-34.31
441,OCc1ccccc1C1CCNCC1,-33.5
442,O=C1CCCC(c2ccccc2)N1,-37.09
443,O=C(O)c1cnn2c1CCC2,-15.56
444,O=C(O)C1CCC(F)(F)C1,-9.42
445,COc1ccc(F)cc1CC(=O)O,-14.95
446,O=C1NCCCC1Cc1ccccc1,-32.47
447,Cn1nnc2cnccc21,-21.4
448,Nc1cccnc1C(F)(F)F,-18.59
449,COc1cccc2c1CC(N)C2,-26.91
450,Cc1cccc2c(C(=O)O)coc12,-12.88
451,O=S1(=O)Cc2ccccc2C1,-24.16
452,Cc1cc(C#N)ccc1C(=O)O,-19.46
453,c1ccc2c(c1)COC21CCCNC1,-34.63
454,OCc1nnc2n1CCCC2,-29.07
455,Cc1nc(C)c(=O)[nH]c1C,-28.1
456,COc1cc2c(O)ccnc2cc1F,-28.64
457,Cn1cnnc1-c1ccccc1Cl,-32.13
458,COc1cccnc1C(F)(F)F,-22.56
459,O=C1CC2(CCCCC2)CN1,-25.24
460,O=C1CC2(CCOCC2)CN1,-22.23
461,OCc1cccc(-c2ccccn2)c1,-43.52
462,Cn1c(=O)[nH]c2cnccc21,-24.81
463,OCC1CNc2c(F)cccc2C1,-34.77
464,CC(O)c1ccc(F)cn1,-27.18
465,OCCc1cn2ccccc2n1,-29.46
466,O=c1ccccn1C(F)F,-17.59
467,Cc1ccn2ncnc2c1N,-23.85
468,CC1(C)CNc2ncccc2O1,-26.35
469,CNCc1ccc(C)cn1,-23.86
470,OCCC1CCc2ccccc2N1,-37.58
471,O=C1COCC(c2ccccc2)N1,-35.87
472,OCc1ccc(OC(F)F)c(F)c1,-32.09
473,O=C(O)c1cccnc1C1CC1,-23.4
474,c1cnn(C2CCCCO2)c1,-29.45
475,O=C1NCCC1Cc1ccccc1,-35.83
476,OCc1c[nH]c2cccc(F)c12,-29.23
477,CN(C)c1cccnc1CN,-30.04
478,N#Cc1ccc(CO)c(Cl)c1,-32.35
479,C[C@@H]1CN(C2CCOCC2)CCN1,-38.64
480,O=C1NCCCN1Cc1ccccc1,-32.57
481,O=C(O)c1ccnc(C2CC2)c1,-19.6
482,COCc1csc(C(=O)O)c1,-16.14
483,N#Cc1ccc(C(F)F)nc1,-26.93
484,O=C1NCc2cccnc21,-27.55
485,Cn1nc(C(F)(F)F)cc1O,-24.6
486,O=C1Cc2cc(F)ccc2N1,-28.27
487,Cn1cc(CN)c(C(F)(F)F)n1,-22.76
488,OC1CCCn2ccnc21,-28.92
489,OCc1cc2cnccc2o1,-25.14
490,Cn1[nH]c(=O)c2ccccc21,-27.97
491,Cn1ncc(O)c1C(F)(F)F,-17.68
492,CC(C)c1ccc(C#N)cn1,-21.18
493,Clc1cccc(C2CNCCN2)c1,-41.36
494,O=C(O)c1cc2c(cn1)CCCC2,-28.91
495,O=C(O)CC1CCCC(=O)N1,-19.3
496,Cn1cc(C#N)c(C(F)(F)F)n1,-21.66
497,O=C1CC2(CCCNC2)CN1,-22.13
498,COc1ccc2c(c1)[C@H](O)CCO2,-37.09
499,Cc1ccnc(CCO)n1,-30.93
500,Cc1nc2c(C#N)cccc2[nH]1,-27.83
501,Cc1cnc2c(c1)NCCN2,-31.1
502,NCc1ccnc(OC(F)F)c1,-23.25
503,Cc1ccc2nc(C(=O)O)ccc2c1,-30.25
504,Cc1cc(F)c(C(=O)O)c(F)c1,-17.65
505,NCC1CN2CCCCC2CO1,-28.17
506,CC1(C)CC(O)C(C)(C)O1,-20.18
507,CN(C)c1cccnc1C#N,-27.03
508,Nc1ccc(OC(F)F)cn1,-22.32
509,CS(=O)(=O)c1ccc(C#N)cc1F,-27.18
510,C=CCOc1cccnc1,-29.0
511,Nc1cnc2c(c1)COCC2,-31.27
